,DOM,time
1603,4,15407041
1604,4,15604042
1605,4,15801043
1606,4,15998044
1607,4,16195045
1608,4,16392045
1609,4,16589046
1610,4,16786047
1611,4,16983048
1612,4,17180049
1613,4,17377050
1614,4,17574050
1615,4,17771051
1616,4,17968052
1617,4,18165053
1618,4,18362054
1619,4,18559055
1620,4,18756056
1621,4,18953056
1622,4,19150057
1623,4,19347058
1624,4,19544059
1625,4,19741060
1626,4,19938061
1627,4,20135062
1628,4,20332062
1629,4,20529063
1630,4,20726064
1631,4,20923065
1632,4,21120066
1633,4,21317067
1634,4,21514068
1635,4,21711069
1636,4,21908069
1637,4,22105070
1638,4,22302071
1639,4,22499072
1640,4,22696073
1641,4,22893074
1642,4,23090075
1643,4,23287075
1644,4,23484076
1645,4,23681077
1646,4,23878078
1647,4,24075079
1648,4,24272080
1649,4,24469080
1650,4,24666081
1651,4,24863082
1652,4,25060083
1653,4,25257084
1654,4,25454085
1655,4,25651086
1656,4,25848087
1657,4,26045087
1658,4,26242088
1659,4,26439089
1660,4,26636090
1661,4,26833091
1662,4,27030092
1663,4,27227093
